WI,WO,FRAC_W,ACC_W,CORDIC_STAGES,max_eig_rmse,max_vec_rmse,overflow,pass,area_proxy,cycle_proxy,at_proxy
16,16,12,29,10,Inf,Inf,1,0,1482,1015,1504230
16,16,12,29,11,Inf,Inf,1,0,1488,1099,1635312
16,16,12,29,12,Inf,Inf,1,0,1494,1183,1767402
16,16,12,29,13,Inf,Inf,1,0,1500,1267,1900500
16,16,12,29,14,Inf,Inf,1,0,1506,1351,2034606
16,16,12,29,15,Inf,Inf,1,0,1512,1435,2169720
16,16,12,29,16,Inf,Inf,1,0,1518,1519,2305842
16,16,12,30,8,Inf,Inf,1,0,1512,847,1280664
16,16,12,30,9,Inf,Inf,1,0,1518,931,1413258
16,16,12,30,10,Inf,Inf,1,0,1524,1015,1546860
16,16,12,30,11,Inf,Inf,1,0,1530,1099,1681470
16,16,12,30,12,Inf,Inf,1,0,1536,1183,1817088
16,16,12,30,13,Inf,Inf,1,0,1542,1267,1953714
16,16,12,30,14,Inf,Inf,1,0,1548,1351,2091348
16,16,12,30,15,Inf,Inf,1,0,1554,1435,2229990
16,16,12,30,16,Inf,Inf,1,0,1560,1519,2369640
16,16,13,26,8,Inf,Inf,1,0,1344,847,1138368
16,16,13,26,9,Inf,Inf,1,0,1350,931,1256850
16,16,13,26,10,Inf,Inf,1,0,1356,1015,1376340
16,16,13,26,11,Inf,Inf,1,0,1362,1099,1496838
16,16,13,26,12,Inf,Inf,1,0,1368,1183,1618344
16,16,13,26,13,Inf,Inf,1,0,1374,1267,1740858
16,16,13,26,14,Inf,Inf,1,0,1380,1351,1864380
16,16,13,26,15,Inf,Inf,1,0,1386,1435,1988910
16,16,13,26,16,Inf,Inf,1,0,1392,1519,2114448
16,16,13,27,8,Inf,Inf,1,0,1386,847,1173942
16,16,13,27,9,Inf,Inf,1,0,1392,931,1295952
16,16,13,27,10,Inf,Inf,1,0,1398,1015,1418970
16,16,13,27,11,Inf,Inf,1,0,1404,1099,1542996
16,16,13,27,12,Inf,Inf,1,0,1410,1183,1668030
16,16,13,27,13,Inf,Inf,1,0,1416,1267,1794072
16,16,13,27,14,Inf,Inf,1,0,1422,1351,1921122
16,16,13,27,15,Inf,Inf,1,0,1428,1435,2049180
16,16,13,27,16,Inf,Inf,1,0,1434,1519,2178246
16,16,13,28,8,Inf,Inf,1,0,1428,847,1209516
16,16,13,28,9,Inf,Inf,1,0,1434,931,1335054
16,16,13,28,10,Inf,Inf,1,0,1440,1015,1461600
16,16,13,28,11,Inf,Inf,1,0,1446,1099,1589154
16,16,13,28,12,Inf,Inf,1,0,1452,1183,1717716
16,16,13,28,13,Inf,Inf,1,0,1458,1267,1847286
16,16,13,28,14,Inf,Inf,1,0,1464,1351,1977864
16,16,13,28,15,Inf,Inf,1,0,1470,1435,2109450
16,16,13,28,16,Inf,Inf,1,0,1476,1519,2242044
16,16,13,29,8,Inf,Inf,1,0,1470,847,1245090
16,16,13,29,9,Inf,Inf,1,0,1476,931,1374156
16,16,13,29,10,Inf,Inf,1,0,1482,1015,1504230
16,16,13,29,11,Inf,Inf,1,0,1488,1099,1635312
16,16,13,29,12,Inf,Inf,1,0,1494,1183,1767402
16,16,13,29,13,Inf,Inf,1,0,1500,1267,1900500
16,16,13,29,14,Inf,Inf,1,0,1506,1351,2034606
16,16,13,29,15,Inf,Inf,1,0,1512,1435,2169720
16,16,13,29,16,Inf,Inf,1,0,1518,1519,2305842
16,16,13,30,8,Inf,Inf,1,0,1512,847,1280664
16,16,13,30,9,Inf,Inf,1,0,1518,931,1413258
16,16,13,30,10,Inf,Inf,1,0,1524,1015,1546860
16,16,13,30,11,Inf,Inf,1,0,1530,1099,1681470
16,16,13,30,12,Inf,Inf,1,0,1536,1183,1817088
16,16,13,30,13,Inf,Inf,1,0,1542,1267,1953714
16,16,13,30,14,Inf,Inf,1,0,1548,1351,2091348
16,16,13,30,15,Inf,Inf,1,0,1554,1435,2229990
16,16,13,30,16,Inf,Inf,1,0,1560,1519,2369640
16,16,14,26,8,Inf,Inf,1,0,1344,847,1138368
16,16,14,26,9,Inf,Inf,1,0,1350,931,1256850
16,16,14,26,10,Inf,Inf,1,0,1356,1015,1376340
16,16,14,26,11,Inf,Inf,1,0,1362,1099,1496838
16,16,14,26,12,Inf,Inf,1,0,1368,1183,1618344
16,16,14,26,13,Inf,Inf,1,0,1374,1267,1740858
16,16,14,26,14,Inf,Inf,1,0,1380,1351,1864380
16,16,14,26,15,Inf,Inf,1,0,1386,1435,1988910
16,16,14,26,16,Inf,Inf,1,0,1392,1519,2114448
16,16,14,27,8,Inf,Inf,1,0,1386,847,1173942
16,16,14,27,9,Inf,Inf,1,0,1392,931,1295952
16,16,14,27,10,Inf,Inf,1,0,1398,1015,1418970
16,16,14,27,11,Inf,Inf,1,0,1404,1099,1542996
16,16,14,27,12,Inf,Inf,1,0,1410,1183,1668030
16,16,14,27,13,Inf,Inf,1,0,1416,1267,1794072
16,16,14,27,14,Inf,Inf,1,0,1422,1351,1921122
16,16,14,27,15,Inf,Inf,1,0,1428,1435,2049180
16,16,14,27,16,Inf,Inf,1,0,1434,1519,2178246
16,16,14,28,8,Inf,Inf,1,0,1428,847,1209516
16,16,14,28,9,Inf,Inf,1,0,1434,931,1335054
16,16,14,28,10,Inf,Inf,1,0,1440,1015,1461600
16,16,14,28,11,Inf,Inf,1,0,1446,1099,1589154
16,16,14,28,12,Inf,Inf,1,0,1452,1183,1717716
16,16,14,28,13,Inf,Inf,1,0,1458,1267,1847286
16,16,14,28,14,Inf,Inf,1,0,1464,1351,1977864
16,16,14,28,15,Inf,Inf,1,0,1470,1435,2109450
16,16,14,28,16,Inf,Inf,1,0,1476,1519,2242044
16,16,14,29,8,Inf,Inf,1,0,1470,847,1245090
16,16,14,29,9,Inf,Inf,1,0,1476,931,1374156
16,16,14,29,10,Inf,Inf,1,0,1482,1015,1504230
16,16,14,29,11,Inf,Inf,1,0,1488,1099,1635312
16,16,14,29,12,Inf,Inf,1,0,1494,1183,1767402
16,16,14,29,13,Inf,Inf,1,0,1500,1267,1900500
16,16,14,29,14,Inf,Inf,1,0,1506,1351,2034606
16,16,14,29,15,Inf,Inf,1,0,1512,1435,2169720
16,16,14,29,16,Inf,Inf,1,0,1518,1519,2305842
16,16,14,30,8,Inf,Inf,1,0,1512,847,1280664
16,16,14,30,9,Inf,Inf,1,0,1518,931,1413258
16,16,14,30,10,Inf,Inf,1,0,1524,1015,1546860
16,16,14,30,11,Inf,Inf,1,0,1530,1099,1681470
16,16,14,30,12,Inf,Inf,1,0,1536,1183,1817088
16,16,14,30,13,Inf,Inf,1,0,1542,1267,1953714
16,16,14,30,14,Inf,Inf,1,0,1548,1351,2091348
16,16,14,30,15,Inf,Inf,1,0,1554,1435,2229990
16,16,14,30,16,Inf,Inf,1,0,1560,1519,2369640
17,17,8,27,8,0.0798969197175525,0.0602749667984638,0,0,1386,847,1173942
17,17,8,27,9,0.0605747653624792,0.0530537780697017,0,0,1392,931,1295952
